layer,dir,mode,c,n_pairs,P_A_plus,P_A_minus,P_A_zero,swing,ci_lo,ci_hi,mass_plus,mass_minus
23,low0,contrastive,0.05,120,0.6589387654513958,0.5619170575329545,,0.0970217079184413,0.03554274032386032,0.16207357730644206,0.9878505000000001,0.9875023333333334
23,low1,contrastive,0.02,120,0.5431242344085042,0.6687316656229126,,-0.1256074312144085,-0.16320812132957527,-0.08942225462406156,0.9874995833333333,0.9875886666666667
23,low1,contrastive,0.05,120,0.5263048464234265,0.6999586616471775,,-0.1736538152237511,-0.22189944129373138,-0.1251821647264955,0.9875015,0.9916665833333334
23,low2,contrastive,0.02,120,0.5789199494037901,0.6553848878235525,,-0.07646493841976242,-0.11270133868517414,-0.0424246747215465,0.9908359583333334,0.987500125
23,low2,contrastive,0.05,120,0.49680572607511136,0.7493674406987709,,-0.25256171462365956,-0.3107658555492058,-0.19684525674226142,0.9917069166666667,0.9875
14,probe,contrastive,0.02,120,0.6118520656542128,0.6004671613015125,0.6064187774340887,0.011384904352700268,-0.014820732937816996,0.035983975398978976,0.9875010000000001,0.9875415833333333
17,probe,contrastive,0.02,120,0.6132198824455244,0.580535205134107,0.6064187774340887,0.03268467731141744,-0.010175750041967692,0.08301624465187042,0.9846475,0.9902030416666666
20,probe,contrastive,0.02,120,0.769933138981698,0.3874962042850762,0.6064187774340887,0.3824369346966219,0.3207921678838897,0.4470882077015551,0.9836079583333334,0.9916663333333333
23,probe,contrastive,0.02,120,0.9068681274056305,0.11895979756866502,0.6064187774340887,0.7879083298369653,0.7257158245740206,0.8471817814663208,0.9836225833333334,0.9916082083333334
26,probe,contrastive,0.02,120,0.8185803911991412,0.26790874390848635,0.6064187774340887,0.5506716472906548,0.47451460634280174,0.623257823204672,0.9866167083333333,0.9895430416666666
29,probe,contrastive,0.02,120,0.7319284808755308,0.5303543226324343,0.6064187774340887,0.20157415824309638,0.15471498383124807,0.24781343814584467,0.9874707083333334,0.9875035
32,probe,contrastive,0.02,120,0.6472778585929434,0.5694717287482564,0.6064187774340887,0.07780612984468711,0.052896565143575075,0.1057890929413748,0.9875015833333334,0.9875005416666667
14,probe,contrastive,0.04,120,0.6216682995045976,0.601517482453966,0.6064187774340887,0.020150817050631452,-0.014241860078466104,0.05291182071968904,0.9885441666666668,0.9916597916666666
17,probe,contrastive,0.04,120,0.6680303424196391,0.5508792495422007,0.6064187774340887,0.11715109287743847,0.06001814820234439,0.18119145872585077,0.9957952916666667,0.995833375
20,probe,contrastive,0.04,120,0.8910880360229598,0.15262411449140556,0.6064187774340887,0.7384639215315542,0.6708975459655727,0.8008084426347787,0.990307875,0.9916528333333333
23,probe,contrastive,0.04,120,0.975609993482423,0.023529987358489067,0.6064187774340887,0.9520800061239337,0.915903227747399,0.9831904264315013,0.99396575,0.9958502083333334
26,probe,contrastive,0.04,120,0.8955145632673079,0.15888635647501967,0.6064187774340887,0.7366282067922881,0.66791331542079,0.8026160753893871,0.9874430833333333,0.9916668333333334
29,probe,contrastive,0.04,120,0.78660427512768,0.52131307656092,0.6064187774340887,0.26529119856676003,0.21109196532881702,0.3221115097713392,0.98747975,0.9875196666666667
32,probe,contrastive,0.04,120,0.6845611851699782,0.553795709196933,0.6064187774340887,0.13076547597304522,0.09436230590341628,0.1698865502894748,0.987499125,0.9875005416666667
2,probe,contrastive,0.05,120,0.6039026672783848,0.6146648312567417,0.6064187774340887,-0.01076216397835696,-0.0367337910265124,0.012420172346940673,0.9875010833333333,0.9875059583333333
5,probe,contrastive,0.05,120,0.5893768181974207,0.6296381870908563,0.6064187774340887,-0.040261368893435484,-0.06750908130136095,-0.012192564625704123,0.9875028333333333,0.9875073333333333
8,probe,contrastive,0.05,120,0.5489828094914965,0.6399785214069088,0.6064187774340887,-0.09099571191541234,-0.13164753698473627,-0.052941523461143496,0.9884637083333333,0.9916664583333333
11,probe,contrastive,0.05,120,0.6025270547738207,0.6040621786647442,0.6064187774340887,-0.0015351238909235324,-0.03720458224581018,0.036487448580107044,0.98753775,0.98751275
14,probe,contrastive,0.05,120,0.6183415248090403,0.5979265280885862,0.6064187774340887,0.020414996720454152,-0.01836937980404998,0.061051546849153,0.9915834166666666,0.99166675
17,probe,contrastive,0.05,120,0.726434090087112,0.49000030975519854,0.6064187774340887,0.23643378033191348,0.17288186593379132,0.31258992379108436,0.99613775,0.99583775
20,probe,contrastive,0.05,120,0.9216086828535973,0.09447714013303674,0.6064187774340887,0.8271315427205608,0.767019800565325,0.884800065093237,0.9920609166666667,0.9939084166666667
